iter	Passed	Remaining
0	48	5148
1	49	2637
2	52	1836
3	54	1419
4	56	1159
5	57	981
6	59	855
7	60	759
8	63	703
9	65	643
10	67	594
11	70	564
12	73	537
13	76	514
14	79	495
15	82	475
16	85	459
17	89	445
18	90	424
19	92	405
20	93	387
21	95	371
22	96	357
23	98	343
24	99	330
25	101	318
26	102	307
27	104	297
28	105	288
29	107	278
30	108	270
31	110	262
32	112	254
33	113	247
34	115	240
35	116	233
36	118	226
37	119	220
38	121	214
39	122	208
40	124	203
41	125	197
42	127	192
43	128	187
44	130	182
45	131	177
46	133	173
47	135	168
48	136	164
49	138	160
50	139	156
51	141	152
52	142	148
53	144	144
54	146	140
55	147	137
56	149	133
57	150	129
58	152	126
59	153	123
60	155	119
61	156	116
62	157	112
63	159	109
64	161	106
65	162	103
66	164	100
67	165	97
68	167	94
69	168	91
70	170	88
71	171	85
72	173	83
73	175	80
74	176	77
75	178	75
76	179	72
77	181	69
78	182	67
79	184	64
80	186	62
81	187	59
82	189	56
83	190	54
84	192	52
85	193	49
86	195	47
87	196	44
88	198	42
89	200	40
90	201	37
91	203	35
92	204	33
93	206	30
94	208	28
95	209	26
96	211	23
97	212	21
98	214	19
99	215	17
100	217	15
101	219	12
102	220	10
103	222	8
104	224	6
105	225	4
106	227	2
107	228	0
